Origin Time,Latitude,Longitude,Magnitude,Depth
2012-07-28T05:48:07.800000Z,29.8516,80.599,4.6,23.0
2012-07-09T12:11:59.500000Z,30.023,77.096,2.4,10.0
2012-06-25T19:26:02.350000Z,31.1314,80.2348,3.2,0.0
2012-06-22T04:38:47.500000Z,29.069,77.021,3.4,15.0
2012-06-22T02:44:45.600000Z,29.022,77.077,3.5,15.0
2012-06-01T23:39:38.000000Z,30.512,79.06,3.2,15.0
2012-05-10T22:00:39.690000Z,30.1762,79.4838,3.7,35.0
2012-05-06T08:10:54.400000Z,29.651,80.777,3.1,15.0
2012-04-10T00:52:18.200000Z,31.2469,77.1271,3.8,19.7
2012-02-12T06:40:23.100000Z,29.451,80.37,2.8,10.0
2012-02-09T19:17:32.940000Z,30.9444,78.2981,5.1,24.8
2012-02-04T16:23:25.500000Z,31.492,77.665,2.4,10.0
2012-01-16T05:01:19.950000Z,29.7172,78.9071,3.6,5.2
2012-01-13T01:26:12.000000Z,30.2621,80.4719,3.6,11.0
2012-01-11T19:23:50.000000Z,31.955,77.001,3.0,10.0
2012-01-09T10:41:10.790000Z,30.1806,80.3109,3.0,23.0
2012-01-07T15:33:07.500000Z,29.765,79.951,2.7,10.0
2011-12-14T23:55:26.200000Z,30.494,79.339,3.2,10.0
2011-11-27T13:38:17.200000Z,29.882,77.853,2.9,10.0
2011-11-20T10:29:14.700000Z,30.647,78.664,2.8,15.0
2011-11-18T09:50:31.500000Z,30.261,79.374,3.1,15.0
2011-11-06T18:34:39.090000Z,30.204,80.3681,3.6,11.0
2011-11-03T19:37:20.400000Z,29.619,80.5846,3.5,19.0
2011-11-02T15:45:33.000000Z,30.227,78.867,2.5,10.0
2011-10-30T13:36:29.300000Z,30.575,80.226,2.9,15.0
2011-10-28T05:03:50.600000Z,30.9163,80.0727,3.5,35.0
2011-10-26T16:17:34.290000Z,31.557,77.0995,3.7,25.3
2011-10-21T18:15:24.600000Z,29.514,77.703,2.7,13.5
2011-10-16T06:33:34.490000Z,31.3493,77.2727,2.8,9.0
2011-10-09T07:34:53.730000Z,29.9909,80.5418,3.6,23.0
2011-10-08T23:02:03.600000Z,31.227,77.79,2.5,11.2
2011-09-29T22:33:23.600000Z,30.82,78.336,2.9,20.1
2011-09-26T21:17:18.200000Z,31.001,79.059,2.7,10.0
2011-09-24T14:32:19.400000Z,30.876,78.372,3.0,10.0
2011-09-21T02:24:36.500000Z,30.89,78.348,3.1,10.0
2011-08-28T08:54:03.600000Z,30.815,78.537,2.8,10.0
2011-07-26T21:24:03.900000Z,30.327,78.987,2.6,10.0
2011-07-12T01:44:29.600000Z,29.557,80.494,2.4,10.0
2011-07-12T01:41:04.600000Z,29.523,80.526,3.0,10.0
2011-07-04T09:43:55.700000Z,29.902,79.687,3.4,16.7
2011-07-02T11:22:51.700000Z,31.132,78.31,2.6,9.3
2011-07-02T11:01:05.600000Z,30.941,78.224,2.5,10.0
2011-06-23T22:13:46.680000Z,29.925,80.6046,4.0,23.0
2011-06-23T20:23:17.300000Z,29.168,77.51,2.3,10.0
2011-06-20T06:27:19.860000Z,30.5513,79.3192,4.9,26.6
2011-06-11T02:59:02.300000Z,30.616,80.623,3.0,10.0
2011-05-25T15:31:02.000000Z,30.503,80.029,2.8,10.0
2011-05-13T14:40:55.820000Z,31.0881,78.2231,3.6,9.9
2011-05-11T01:51:24.000000Z,30.515,80.377,3.1,10.0
2011-05-10T18:28:52.700000Z,30.853,80.104,2.4,10.0
2011-05-08T12:32:16.930000Z,30.2948,80.3303,3.3,11.0
2011-05-08T01:26:26.900000Z,30.427,80.46,3.0,10.0
2011-05-08T01:04:56.300000Z,31.079,80.063,2.6,10.0
2011-05-06T15:08:57.400000Z,30.818,80.383,3.1,15.0
2011-05-05T13:08:40.100000Z,30.478,80.197,3.2,10.0
2011-05-05T07:15:25.200000Z,31.193,80.703,3.1,15.0
2011-05-04T21:43:19.300000Z,30.252,80.659,3.3,10.0
2011-05-04T20:57:18.360000Z,30.2162,80.4146,4.6,23.0
2011-05-02T18:51:57.100000Z,31.074,78.093,3.0,10.0
2011-04-28T07:32:33.800000Z,31.465,77.352,2.4,10.0
2011-04-26T08:44:47.600000Z,31.572,77.531,2.5,10.0
